POSITION,B_TOT
0,54087.4
1,54083.4
2,54093.4
3,54111.8
4,54132.6
4.5,54169.2
5,54192
5,54202.2
5.5,54235.4
6,54241
6.5,54269.8
7,54193.8
7.5,54160.8
8,54117.8
8.5,54105.8
9,54087.4
10,54091.8
10,54088.8
11,54088.2
12,54089.2
13,54091
15,54086
17,54089.6
19,54094.4
